# Assembly name:  NCBI36
# Organism name:  Homo sapiens (human)
# Taxid:          9606
# BioProject:     PRJNA168
# Submitter:      International Human Genome Sequencing Consortium
# Date:           2006-3-3
# Synonyms:       hg18	
# Assembly type:  haploid-with-alt-loci
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# RefSeq assembly accession: GCF_000001405.12
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## 	GCF_000001305.12	Primary Assembly
## 	GCF_000001325.1	c6_COX
## 	GCF_000001365.1	c6_QBL
## 	GCF_000000315.1	c22_H2
## 	GCF_000000305.1	c5_H2
## 	GCF_000000275.1	DR53
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Hs17_111652_36	unlocalized-scaffold	17	Chromosome	na	<>	NT_113933.1	Primary Assembly	142595	na
Hs17_111653_36	unlocalized-scaffold	17	Chromosome	na	<>	NT_113934.1	Primary Assembly	120350	na
Hs17_111654_36	unlocalized-scaffold	17	Chromosome	na	<>	NT_113935.1	Primary Assembly	185449	na
Hs17_111655_36	unlocalized-scaffold	17	Chromosome	na	<>	NT_113936.1	Primary Assembly	163628	na
Hs17_111656_36	unlocalized-scaffold	17	Chromosome	na	<>	NT_113937.1	Primary Assembly	37443	na
Hs17_111657_36	unlocalized-scaffold	17	Chromosome	na	<>	NT_113938.1	Primary Assembly	45226	na
Hs17_111658_36	unlocalized-scaffold	17	Chromosome	na	<>	NT_113939.1	Primary Assembly	147354	na
Hs17_111659_36	unlocalized-scaffold	17	Chromosome	na	<>	NT_113940.1	Primary Assembly	19187	na
Hs17_111660_36	unlocalized-scaffold	17	Chromosome	na	<>	NT_113941.1	Primary Assembly	37498	na
Hs17_111661_36	unlocalized-scaffold	17	Chromosome	na	<>	NT_113942.1	Primary Assembly	117663	na
Hs17_111662_36	unlocalized-scaffold	17	Chromosome	na	<>	NT_113943.1	Primary Assembly	81310	na
Hs17_111663_36	unlocalized-scaffold	17	Chromosome	na	<>	NT_113944.1	Primary Assembly	182567	na
Hs17_111664_36	unlocalized-scaffold	17	Chromosome	na	<>	NT_113945.1	Primary Assembly	41001	na
Hs17_111665_36	unlocalized-scaffold	17	Chromosome	na	<>	NT_113946.1	Primary Assembly	31181	na
Hs18_111666_36	unlocalized-scaffold	18	Chromosome	na	<>	NT_113947.1	Primary Assembly	4262	na
Hs19_111667_36	unlocalized-scaffold	19	Chromosome	na	<>	NT_113948.1	Primary Assembly	92689	na
Hs19_111668_36	unlocalized-scaffold	19	Chromosome	na	<>	NT_113949.1	Primary Assembly	159169	na
Hs21_111669_36	unlocalized-scaffold	21	Chromosome	na	<>	NT_113950.1	Primary Assembly	28709	na
Hs21_111670_36	unlocalized-scaffold	21	Chromosome	na	<>	NT_113951.1	Primary Assembly	152296	na
Hs21_111671_36	unlocalized-scaffold	21	Chromosome	na	<>	NT_113952.1	Primary Assembly	184355	na
Hs21_111672_36	unlocalized-scaffold	21	Chromosome	na	<>	NT_113953.1	Primary Assembly	131056	na
Hs21_111673_36	unlocalized-scaffold	21	Chromosome	na	<>	NT_113954.1	Primary Assembly	129889	na
Hs21_111674_36	unlocalized-scaffold	21	Chromosome	na	<>	NT_113955.1	Primary Assembly	178865	na
Hs21_111675_36	unlocalized-scaffold	21	Chromosome	na	<>	NT_113956.1	Primary Assembly	150002	na
Hs21_111676_36	unlocalized-scaffold	21	Chromosome	na	<>	NT_113957.1	Primary Assembly	166452	na
Hs21_111677_36	unlocalized-scaffold	21	Chromosome	na	<>	NT_113958.1	Primary Assembly	158069	na
Hs22_111679_36	unlocalized-scaffold	22	Chromosome	na	<>	NT_113960.1	Primary Assembly	40752	na
Hs22_111680_36	unlocalized-scaffold	22	Chromosome	na	<>	NT_113961.1	Primary Assembly	166566	na
HsX_111681_36	unlocalized-scaffold	X	Chromosome	na	<>	NT_113962.1	Primary Assembly	217385	na
HsX_111682_36	unlocalized-scaffold	X	Chromosome	na	<>	NT_113963.1	Primary Assembly	24360	na
HsX_111683_36	unlocalized-scaffold	X	Chromosome	na	<>	NT_113964.1	Primary Assembly	204131	na
HsX_111684_36	unlocalized-scaffold	X	Chromosome	na	<>	NT_113965.1	Primary Assembly	1005289	na
HsX_111685_36	unlocalized-scaffold	X	Chromosome	na	<>	NT_113966.1	Primary Assembly	68003	na
Hs6_111610_36	alt-scaffold	6	Chromosome	na	<>	NT_113891.1	c6_COX	4731698	chr6_cox_hap1
Hs6_111611_36	alt-scaffold	6	Chromosome	na	<>	NT_113892.1	c6_QBL	475847	na
Hs6_111612_36	alt-scaffold	6	Chromosome	na	<>	NT_113893.1	c6_QBL	1999704	na
Hs6_111613_36	alt-scaffold	6	Chromosome	na	<>	NT_113894.1	c6_QBL	291112	na
Hs6_111614_36	alt-scaffold	6	Chromosome	na	<>	NT_113895.1	c6_QBL	266639	na
Hs6_111615_36	alt-scaffold	6	Chromosome	na	<>	NT_113896.1	c6_QBL	623992	na
Hs6_111616_36	alt-scaffold	6	Chromosome	na	<>	NT_113897.1	c6_QBL	591978	na
Hs22_111678_36	alt-scaffold	22	Chromosome	na	<>	NT_113959.1	c22_H2	63661	chr22_h2_hap1
Hs5_111520_36	alt-scaffold	5	Chromosome	na	<>	NT_113801.1	c5_H2	1146088	na
Hs5_111521_36	alt-scaffold	5	Chromosome	na	<>	NT_113802.1	c5_H2	608782	na
NG_002433.1	alt-scaffold	6	Chromosome	na	<>	NG_002433.1	DR53	150447	na
